% 1. Title: Leap Database
%
% 2. Sources :
% (a)Creator : NIH and Binghamton FRI 2016
% (b)Date : Fall 2016
%
@RELATION asd

@ATTRIBUTE fingerDirection1x NUMERIC
@ATTRIBUTE fingerDirection1y NUMERIC
@ATTRIBUTE fingerDirection1z NUMERIC
@ATTRIBUTE fingerDirection2x NUMERIC
@ATTRIBUTE fingerDirection2y NUMERIC
@ATTRIBUTE fingerDirection2z NUMERIC
@ATTRIBUTE fingerDirection3x NUMERIC
@ATTRIBUTE fingerDirection3y NUMERIC
@ATTRIBUTE fingerDirection3z NUMERIC
@ATTRIBUTE fingerDirection4x NUMERIC
@ATTRIBUTE fingerDirection4y NUMERIC
@ATTRIBUTE fingerDirection4z NUMERIC
@ATTRIBUTE fingerDirection5x NUMERIC
@ATTRIBUTE fingerDirection5y NUMERIC
@ATTRIBUTE fingerDirection5z NUMERIC
@ATTRIBUTE fingertip1x NUMERIC
@ATTRIBUTE fingertip1y NUMERIC
@ATTRIBUTE fingertip1z NUMERIC
@ATTRIBUTE fingertip2x NUMERIC
@ATTRIBUTE fingertip2y NUMERIC
@ATTRIBUTE fingertip2z NUMERIC
@ATTRIBUTE fingertip3x NUMERIC
@ATTRIBUTE fingertip3y NUMERIC
@ATTRIBUTE fingertip3z NUMERIC
@ATTRIBUTE fingertip4x NUMERIC
@ATTRIBUTE fingertip4y NUMERIC
@ATTRIBUTE fingertip4z NUMERIC
@ATTRIBUTE fingertip5x NUMERIC
@ATTRIBUTE fingertip5y NUMERIC
@ATTRIBUTE fingertip5z NUMERIC
@ATTRIBUTE stableFingertip1x NUMERIC
@ATTRIBUTE stableFingertip1y NUMERIC
@ATTRIBUTE stableFingertip1z NUMERIC
@ATTRIBUTE stableFingertip2x NUMERIC
@ATTRIBUTE stableFingertip2y NUMERIC
@ATTRIBUTE stableFingertip2z NUMERIC
@ATTRIBUTE stableFingertip3x NUMERIC
@ATTRIBUTE stableFingertip3y NUMERIC
@ATTRIBUTE stableFingertip3z NUMERIC
@ATTRIBUTE stableFingertip4x NUMERIC
@ATTRIBUTE stableFingertip4y NUMERIC
@ATTRIBUTE stableFingertip4z NUMERIC
@ATTRIBUTE stableFingertip5x NUMERIC
@ATTRIBUTE stableFingertip5y NUMERIC
@ATTRIBUTE stableFingertip5z NUMERIC
@ATTRIBUTE extendedFinger1 NUMERIC
@ATTRIBUTE extendedFinger2 NUMERIC
@ATTRIBUTE extendedFinger3 NUMERIC
@ATTRIBUTE extendedFinger4 NUMERIC
@ATTRIBUTE extendedFinger5 NUMERIC
@ATTRIBUTE pinchStrength NUMERIC
@ATTRIBUTE grabStrength NUMERIC
@ATTRIBUTE palmPositionX NUMERIC
@ATTRIBUTE palmPositionY NUMERIC
@ATTRIBUTE palmPositionZ NUMERIC
@ATTRIBUTE stablePalmPositionX NUMERIC
@ATTRIBUTE stablePalmPositionY NUMERIC
@ATTRIBUTE stablePalmPositionZ NUMERIC
@ATTRIBUTE scaleFactor NUMERIC
@ATTRIBUTE frontMostFinger NUMERIC
@ATTRIBUTE class {G01,G02,G03,G04,G05,G06,G07,G08,G09,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25}

@DATA
-0.270001, -0.204331, -0.94093, -0.123723, 0.0822641, -0.988901, -0.0241745, -0.00718504, -0.999682, 0.0062488, 0.0234572, -0.999705, -0.242287, 0.0999212, -0.965046, -27.3775, 142.061, -16.6744, -35.529, 191.607, -69.1043, -8.29092, 186.465, -84.7399, 14.8265, 186.354, -79.9648, 17.1286, 184.612, -58.3578, -25.5362, 142.701, -12.1505, -32.9458, 189.787, -66.697, -6.94741, 185.681, -81.1425, 15.497, 183.89, -76.7048, 17.5149, 182.802, -55.6593, 0, 1, 1, 1, 1, 0, 0, 0.682825, 176.581, 21.698, 6.21525, 175.402, 19.7724, 1.43375, 2, G02
0.0138108, -0.287568, -0.957661, -0.114422, 0.0429791, -0.992502, -0.0312612, -0.0382601, -0.998779, 0.000161036, -0.00872429, -0.999962, -0.247005, 0.0781722, -0.965856, -5.41108, 139.121, -16.629, -32.6176, 192.859, -68.998, -6.57352, 188.373, -84.0536, 16.691, 188.453, -79.1439, 19.2769, 188.076, -57.4191, -12.2067, 141.577, -12.4368, -32.1864, 191.936, -65.8426, -6.00752, 187.894, -80.547, 17.198, 187.789, -75.6049, 20.289, 186.304, -54.5631, 0, 1, 1, 1, 1, 0, 0, 2.78991, 180.231, 22.2251, 4.71431, 177.038, 20.8556, 1.40927, 2, G02
0.0223415, -0.282124, -0.959118, -0.115626, 0.0280334, -0.992897, -0.0277297, -0.0426114, -0.998707, 0.00150489, -0.0326872, -0.999465, -0.253102, 0.0739341, -0.96461, -7.89615, 140.526, -16.7955, -34.5687, 192.982, -68.5459, -8.11394, 189.218, -83.5363, 14.9961, 187.806, -78.6296, 16.9903, 188.859, -56.9071, -11.3813, 141.481, -12.4198, -32.8938, 192.374, -65.5938, -6.718, 188.255, -80.3478, 16.1941, 187.962, -75.3611, 19.5688, 186.99, -54.3043, 0, 1, 1, 1, 1, 0, 0, 0.914774, 181.21, 22.673, 4.07431, 177.645, 21.1388, 1.39892, 2, G02
0.0432094, -0.287078, -0.956932, -0.131321, 0.0368006, -0.990657, -0.0456758, -0.0396555, -0.998169, -0.0152132, -0.00669292, -0.999862, -0.261952, 0.0824295, -0.961554, -6.69447, 142.035, -14.8963, -37.2996, 195.622, -66.699, -11.2733, 191.652, -82.0935, 11.9898, 192.043, -77.5427, 14.8416, 191.656, -55.9335, -10.7997, 141.661, -12.3138, -33.4111, 192.861, -65.2384, -7.33357, 189.037, -79.9602, 15.3072, 189.082, -74.9022, 18.9935, 187.965, -53.9236, 0, 1, 1, 1, 1, 0, 0, -0.354289, 183.324, 23.9183, 3.65727, 178.228, 21.3994, 1.40631, 2, G02
-0.29948, -0.162341, -0.94019, -0.146926, 0.0373747, -0.988441, -0.0602251, -0.04328, -0.997246, -0.0283441, -0.0100318, -0.999548, -0.26854, 0.0788765, -0.960034, -26.3803, 150.203, -13.8837, -38.1833, 196.797, -64.7343, -12.2841, 192.334, -80.5567, 11.1633, 192.657, -76.3906, 14.6161, 192.06, -55.0614, -21.9646, 149.005, -9.95483, -34.5698, 193.806, -64.5744, -9.07629, 190.271, -79.2484, 13.9198, 190.258, -74.4429, 17.8491, 189.161, -53.4837, 0, 1, 1, 1, 1, 0, 0, 0.119163, 184.15, 25.2306, 3.26324, 178.731, 21.6544, 1.40099, 2, G02
-0.332723, -0.153676, -0.930419, -0.148126, 0.0350525, -0.988347, -0.0580465, -0.0355469, -0.997681, -0.0278516, 0.0212353, -0.999386, -0.263717, 0.0901198, -0.960381, -25.4096, 150.891, -12.6922, -37.125, 197.136, -64.1818, -11.0095, 193.195, -80.0796, 12.2096, 195.181, -75.8705, 15.973, 193.013, -54.5608, -23.434, 149.93, -9.57304, -34.7804, 194.103, -64.2318, -9.36091, 190.706, -78.8082, 13.6444, 190.926, -74.0736, 17.6656, 189.614, -53.1709, 0, 1, 1, 1, 1, 0, 0, 1.2596, 184.802, 25.8219, 3.04673, 179.261, 22.0288, 1.4094, 2, G02
-0.349631, -0.168277, -0.921651, -0.148878, 0.0239452, -0.988566, -0.0526219, -0.0357869, -0.997973, -0.0305675, 0.0229067, -0.99927, -0.258775, 0.0957791, -0.961177, -28.7752, 147.705, -11.2267, -38.7559, 192.354, -63.7488, -12.1735, 189.061, -79.6562, 10.3571, 191.365, -75.3465, 14.667, 189.604, -53.8989, -24.326, 149.932, -8.89591, -36.2001, 193.567, -61.9144, -10.0197, 190.782, -77.6363, 12.7341, 191.908, -72.6503, 17.3572, 189.978, -52.4357, 0, 1, 1, 1, 1, 0, 0, -0.269737, 181.613, 26.5511, 2.72158, 179.736, 22.6153, 1.41762, 2, G02
-0.375724, -0.155659, -0.913565, -0.14694, 0.0253157, -0.988821, -0.0516817, -0.0396154, -0.997878, 0.023436, -0.0391904, -0.998957, -0.259232, 0.0974865, -0.960882, -32.6405, 150.172, -10.1909, -37.6829, 192.745, -63.4653, -11.1453, 188.973, -79.3276, 15.7253, 186.485, -75.041, 15.5175, 189.798, -53.4395, -25.5721, 149.812, -8.29286, -37.3315, 192.629, -61.0025, -10.5754, 190.431, -77.0855, 13.3945, 189.758, -71.6766, 16.9733, 189.871, -51.9575, 1, 1, 1, 1, 1, 0, 0, 0.613587, 181.907, 26.9387, 2.33291, 179.955, 23.1209, 1.44051, 2, G02
-0.36183, -0.151158, -0.919908, -0.142247, 0.0117085, -0.989762, -0.0493141, -0.0516652, -0.997446, 0.0603812, -0.0736467, -0.995455, -0.257588, 0.0789203, -0.963027, -30.1738, 148.829, -11.0301, -35.7232, 190.623, -63.7323, -9.31892, 186.99, -79.3684, 20.4266, 182.876, -74.7593, 17.1938, 187.612, -53.5917, -26.2238, 149.885, -7.9975, -36.8704, 192.195, -60.7245, -10.3731, 189.64, -76.6011, 18.7617, 184.127, -71.1143, 17.1275, 189.222, -51.4052, 1, 1, 1, 1, 1, 0, 0, 2.1594, 180.761, 26.8369, 2.18922, 180.117, 23.7278, 1.44471, 2, G02
-0.356745, -0.149437, -0.922172, -0.135702, -0.0116975, -0.990681, -0.0477796, -0.0556783, -0.997305, 0.0606273, -0.0733822, -0.995459, -0.251998, 0.0717259, -0.965066, -27.0186, 149.148, -11.0454, -34.1383, 190.011, -63.4429, -8.08777, 187.781, -78.8522, 21.542, 184.113, -74.1291, 18.6538, 188.492, -53.0195, -26.5532, 150.021, -7.67976, -36.073, 191.897, -60.5053, -10.0061, 189.396, -76.3287, 19.5101, 184.335, -70.9452, 17.5563, 189.103, -51.0069, 1, 1, 1, 1, 1, 0, 0, 3.212, 181.876, 27.3615, 2.2333, 180.359, 24.2217, 1.43302, 2, G02
